1월 8일,1월 12일,2월 27일,2월 28일,3월 4일,3월 19일,3월 20일,5월 3일,5월 15일,5월 20일,7월 15일,8월 2일,8월 8일,11월 6일,11월 11일
"외통위, 조태열 외교장관 후보 인사청문회",경남 김해 초미세먼지주의보 해제,생태 보고' 갈라파고스 입도 100→200달러…8월부터 적용,멕시코서 시장 예비후보 2명 7시간새 잇따라 피격 사망,"中과 '패권경쟁' 美, AI 무인전투기 개발 본격화…5개사 경쟁","이스라엘군 ""가자지구 최대 병원서 하마스 20명 사살""","탈북민들 ""장마당서 富축적하면 당국 칼날…그래도 없어선 안돼""","바이든, 대학 반전시위에 ""표현 자유 존중하지만 질서 지켜야""","무협회장, 美에 ""구조적 흑자이유로 반덤핑·상계관세 남발안돼""","""MS, 21일 개막하는 개발자 콘퍼런스에서 인공지능PC 비전 공개""","[트럼프 피격] ""총격범, 외국 테러리즘과 연계 흔적 발견 안 돼""","[올림픽] 북한 방철미, 여자 복싱 54㎏급 준결승 진출로 동메달 확보",5천600㎞ 대서양 건넜나…카리브해 선박에 유골 10여구와 마약,"[美대선] 트럼프 ""엄청난 승리 거둬 미국 위대하게 만들 것""",쿠바 만사니요 남남동쪽 해역서 규모 6.8 지진 발생
"의회난입' 수감자 놓고 트럼프 ""풀어줘야""·펜스 ""법대로 처벌""","[현장잇슈] 모르고 탔는데 의자 없는 칸…""노약자는?"" VS ""오히려 좋아""","스웨덴, 나토 32번째 회원국된다…헝가리, 비준안 가결(종합)","친러' 슬로바키아·헝가리 ""무기 지원보다 협상 우선""",인천 강화 초미세먼지주의보 해제…영종·영흥권 주의보 유지,바이든 국정연설 효과?…트럼프와 전국 단위 조사서 '박빙 대결',매카시 前하원의장이 비서실장?…트럼프 '차기내각' 하마평 분분,"브라질 남부 폭우에 45명 사망·실종…""전시상황 같다""",노벨문학상 수상 캐나다 작가 앨리스 먼로 별세…향년 92세,브라질 상파울루 최대 문화 축제에서 태권도·K팝 댄스 인기몰이,"베벌리힐스…' 배우 섀넌 도허티, 암투병 끝에 별세…향년 53세(종합)",英 팬데믹 후 첫 금리 인하…추가 인하 계속될까,덴마크 총리 폭행범에 징역 4개월…6년간 입국 금지,"러 ""한국과 관계, 우리가 먼저 망치지 않았다""",비트코인 사상 첫 8만달러 돌파…가상화폐 급등세 지속(종합)
"美 항공청 ""안전확인 때까지 보잉 737-맥스9 전면 운항 금지""",가지지구서 적신월사 구급차 공습…대원·환자 6명 숨져,독일 대중교통 '파업주간'…내달 1일 대부분 운행중단,"이탈리아, 中전기차업체 비야디 접촉 ""공장 지어달라""","대선 재대결 확정 앞둔 트럼프, 바이든에 우세…CBS 52% 對 48%(종합)","트럼프측 ""6천억원대 재판 공탁금 마련 불가능"" 법원에 호소","스페이스X ""위성 인터넷 부품 판매 계획…기업공개는 아직""","네타냐후 ""승리를 위해 라파 공격 등 할일 할 것""","적십자 '지상전 임박' 라파에 야전병원…""환자 급증 대응""","머스크 뇌신경과학 스타트업 ""두번째 컴퓨터칩 이식신청자 모집""","[트럼프 피격] ""총격범, 평범한 중산층 출신…가족들 정치 성향 혼재""","[올림픽] 여자 양궁 '맏언니' 전훈영, 개인전 16강 진출","英, 폭력시위자 '고속 재판'…20∼36개월 징역형 선고",한·오스트리아 필하모닉 공연…25년째 정기연주회,"[트럼프 재집권] 측근들 ""정적리스트 없다…최우선 과제는 통합"""
내륙 곳곳 아침 기온 영하 10도 이하…낮에도 -1∼6도 그쳐,"美전문가 ""北, 러와 탄약 공동생산하고 러에 노동자 보낼 수도""","나발니 장례식은 언제, 어떻게…추측만 분분","젤렌스키, 사우디 방문…빈살만 왕세자와 포로송환 등 협의","머스크 75조원 보상 무효' 이끈 로펌, 테슬라 주식 8조원 요구","EU 상임의장 ""평화 원하면 전쟁 대비해야""…국방 강화 촉구","찰스3세, 6·25 참전용사 초청…""한국전 기억하겠다""","英 대학도 텐트 시위 확산…정부 ""反유대 폭력행위는 엄단""(종합)","러 ""푸틴·시진핑, 비공식 회담서 중요 외교현안 논의""",슬로바키아 총리 총격 공범 수사…범인 SNS 체포뒤 삭제돼,"바이든 ""피격사건, 독립적 조사 지시…결과 나오면 국민과 공유""",[올림픽] '마른하늘에 번개'…안병훈의 다사다난했던 1R 마지막 홀,독일서 17세기 지은 호텔 건물 붕괴 2명 사망(종합),"유엔 13개 회원국, 北 ICBM 규탄 성명…안보리 차원 성명은 못내","[트럼프 재집권] ""美연준, 대통령 지시받아야"" 주장에 머스크, '100점' 지지 표시"
"오늘 서울 -9도, 살을 에는 듯한 추위…곳곳 한파 특보",바티칸 성베드로 대성전 '걸작' 발다키노 10개월간 복원,"이스라엘군, 가자지구 중-북부 잇는 10㎞ 땅굴 발견",유럽의회서 '자연 복원법' 가결…우파 폐기 시도 무산,"오늘부터 전공의 면허정지·처벌 절차 개시…""구제 없다""","美관리 ""北, 극초음속미사일 등 무기 개발·실험…매우 우려""","푸틴 ""친우크라 무장세력은 쓰레기…시효없이 처벌""(종합)","美 ""러, 올해 北에 50만배럴 넘는 정제유 제공""…제재 무력화(종합2보)","20대 청년 해친 伊 살인곰, 사살 대신 獨 보호구역으로",77세 트럼프도 '30초 얼음'?…연설 도중 돌연 말 멈추고 침묵,"[트럼프 피격] ""50대 의용소방대장, 가족 지키려 몸 던져""",권도형 운명' 가른 몬테네그로 개각…법무장관 교체로 반전,"[올림픽] 여자골프 양희영, 1R 공동 13위…고진영·김효주 오버파 중위권","[美대선] 트럼프, 부인과 함께 플로리다서 투표 ""대승 자신""","비트코인, 사상 첫 8만달러 돌파 후 8만1천달러도 넘어(종합2보)"
"북, 사흘 포사격에 탐지능력 비하…군 ""저급한 선동""",헤일리 뉴햄프셔서 트럼프 꺾나…反트럼프 후보사퇴에 판세 출렁,美공화 전국위원회 의장 내달 사임…트럼프 당 장악 마침표,트럼프 이어 바이든도 내달 운수노조 면담…노동자 공략 가속,"한동훈, 천안서 총선 격전지 순회 시작…대학·시장 방문","""MS-오픈AI 잡자""…스마트폰 라이벌 구글-애플, AI로 오월동주?","EU, 러 동결자산 수익 활용처 '재건→무기지원' 급선회(종합)","바이든, 대학 반전시위에 ""표현 자유 존중하지만 질서 지켜야""(종합)","美 ""외교제안에 北, 미사일로 화답…美, 韓日과 안보협력 강화""",아르헨티나 한국문화원 '찾아가는 문화원' 비에드마에서 개최,"트럼프 ""오늘 전대 개최지 밀워키로…총격범이 계획 변경 못해""","""가로등 밑 어두운 부분까지""…WHO, 감염병 연구범위 확대 촉구","[올림픽] 샤이니 민호 ""올림픽, 전 세계인의 융화의 장""",에르도안 '집권 연장' 시동거나…튀르키예 범여권서 개헌론,"美 ""김정은, 파병대가로 러의 핵프로그램 기술지원 기대 가능성"""
"북 ""88발 포사격…위협 조성 없는 정상 훈련""",美서 비트코인 현물ETF 거래개시…블랙록·그레이스케일 '두각',"우크라, 격전지서 후퇴 거듭…러 ""美 에이브럼스 탱크 파괴""",혁명가에서 강도로 전락…獨 '적군파' 조직원 체포(종합),"민주 탈당한 김영주 국회부의장, 국민의힘 입당식","찰스 3세 서거' 가짜뉴스 소동…英 해외공관들 ""거짓""","올해 뎅기열 심상찮다…브라질, 벌써 역대 최다 감염","백악관, '외국인 혐오하는 일본' 바이든 발언 해명하느라 진땀","페루 산길서 또 버스 전복 사고…""13명 사망·14명 부상""",88세 사우디 국왕 폐렴 진단받아…치료 예정,[美공화 전대 D-1] 행사장에 철제 펜스 설치…총격 후 경계강화·긴장고조(종합),"美 ""북중러 핵무기 계속 늘리면 美 핵무기 더 배치해야 할 수도""","WHO, 엠폭스 확산에 보건비상사태 재선언 검토…전문가 소집","[美대선] 가상화폐 비트코인, 4일 만에 7만달러선 회복","국회 예결위, 이틀 동안 경제부처 예산안 심사"
"여, 교총회장·학폭변호사 영입…이상민도 입당 결정",남아공은 왜 이스라엘을 국제법정에 제소했나,러 모스크바·레닌그라드 군관구 부활…나토 확장에 대응,"바이든, 의회에 예산안 처리 호소…""셧다운 막고 우크라 도와야""","이준석, 화성을 출마 선언…'반도체 벨트' 구축 목표","14시간 정전' 쿠바서 정부 성토 시위…대통령 ""美 제재 탓""","北억류 선교사 아들 ""부친 생사를 모르는게 제일 힘듭니다""","""구글, 아이폰 기본검색 설정되려고 2022년에 200억달러 지급""","코언 ""대신 낸 입막음 돈 받으려 트럼프그룹에 가짜청구서 보내""",의대 증원' 최종 확정 임박했는데…전공의 복귀는 '아직',"[트럼프 피격] ""50대 의용소방대장, 가족 지키려 몸던져…영웅으로 숨졌다""(종합)","페이스북 모회사 메타 주가 6% 상승…""AI 투자로 성과""","경기침체 판단 '삼법칙' 개발자 ""연준 긴급인하 불필요""",트럼프에 올인' 머스크의 테슬라…美 대선일 주가 장중 4%대↑,"여야의정 협의체, 野없이 일단 출범…국회서 첫 회의"
다방 연쇄살인 피의자 구속…신상공개도 검토,"美언론 ""美 국방부, '장관 깜깜이 입원' 논란에 감찰 방침""",주튀르키예한국문화원 '골든벨을 울려라' 한국 지식 경연대회,브라질 리우서 경찰과 범죄조직 총격전…범죄 조직원 7명 사망,美대법 '트럼프 대선출마 자격' 슈퍼화요일 하루前 4일 선고할듯,"폴크스바겐 美공장 노동자, 전미자동차노조 가입투표",강원 강릉에 대설주의보…횡성 등 14곳 대설주의보 유지,"나토 ""러시아 하이브리드 활동 증가""…이례적 경고 성명","튀르키예, 2016년 쿠데타 배후 '페토' 544명 체포",선거 2주 앞 멕시코서 정당인 피격 빈발…나흘새 16명 사망,"[트럼프 피격] ""증오의 언행 줄이자""…美 정치권 자성 목소리(종합)","[올림픽] 자유형 200ｍ 챔피언 포포비치 ""내 친구 황선우, 고개 들기를""",[올림픽] '북아프리카 영웅' 된 여자 복서 칼리프…알제리 대통령 찬사,"[美대선] EU정상들, 7일 헝가리서 '공통된' 대미 메시지 조율 시도","與, 尹정부 전반기 국정성과 보고·토론회 개최"
평창서 스키장 곤돌라 멈춰 60여명 고립…정전 사고도 잇따라,"젤렌스키 ""러시아, 북한서 탄약 100만발 받아""(종합)",팔레스타인 자치정부 개혁 압박 속 내각 일괄 사의 표명(종합),"美 ""우크라에 파병 안 해"" 기존 입장 확인하며 파병에 선 그어","對中경쟁·비용압박 美 AI무인전투기 개발박차…""2개사 곧 선정""(종합)",EU 핵심원자재법 제정…2030년까지 제3국산 비중 65% 미만 목표,유럽서 '일회용 전자담배' 판매금지 확산…미성년자에 노출 심각,"美 ""한·일 등과 협력해 북러 겨냥 신규제재 이달 발표""",단편소설 대가' 노벨문학상 앨리스 먼로 별세…향년 92세(종합),전국 대체로 맑고 일교차 커…수도권 오전 한때 비,수련병원들 오늘 전공의 사직 최종 처리…복귀 움직임 아직 미미,"[올림픽] '양궁 여자단체 10연패' 전훈영 ""엄마 축하 카톡에 눈물 주르륵""","[올림픽] '8년 전 4위' 양희영 ""메달 욕심 있지만, 일단 생각 내려놔야죠""","[美대선] 멕시코 대통령 ""당선인 누구든 좋은 관계 맺을 것""","이재명, 경총 방문해 재계 건의사항 청취"
차량 들이받고 음주측정 거부한 40대 가수 겸 배우 입건,"암 투병 에릭손 감독 ""길면 1년 남아…긍정적으로 지내려 해""","스웨덴, 200년 중립→서방 동맹으로…나토 '발트해 포위' 완성",달 착륙 美우주선 곧 멈춘다…예상작동시간 최대 9→5일로 단축,인천 영종·영흥권 초미세먼지주의보 해제,"브라질 중남부, 열돔현상으로 폭염…체감온도 무려 62.3℃","IOC ""러·벨라루스 선수, 파리올림픽 개막식 행진서 배제""",세르비아 새정부 출범…내각에 美 제재받는 친러 인사 2명,"잇단 주한미군 관련 발언에 정부, 트럼프측에 한국 입장 전달(종합)","김호중, 열흘 만에 음주운전 시인…""크게 후회·반성""","與 대표·최고위원 후보들, 천안서 충청권 합동연설회","아르헨 대사관에 왜 브라질 국기가…""베네수 野인사 보호 협력""","산업장관 ""한미 원전분쟁, 정부지원 가능한 협력체계 美와 논의""","인권단체들 北대사관에 모여 서한 전달…""유엔 권고 이행하라""","[트럼프 재집권] 트럼프, 푸틴과 통화…유럽내 미군 거론하며 ""우크라 확전 말라"""
정시 모집 마감…불수능에 주요 대학 경쟁률 상승,"""세상이 뒤죽박죽"" 네타냐후, ICJ 제노사이드 재판 맹비난","북, 러 세계청년축제 참가…청년단체 교류 논의","EU, 오픈AI 이어 'MS-미스트랄 AI 파트너십' 조사 가능성(종합)",꽃샘추위 가니 국외 초미세먼지…오늘도 공기 질 나쁨,"황 유엔대사 ""北 핵개발에 국제사회 핵무기 비확산 전망 암울""","멜로니 伊총리, 딥페이크 음란물에 10만유로 손해배상 소송",BTS·스위프트 노래 틱톡 복귀…3개월 만에 라이선스 협상 타결,"찰스 3세, 대관식 후 첫 공식 초상화 공개",뒤늦은 사과에 여론 싸늘…향후 공연 일정도 불투명,"장마 소강인 중부, 체감 34도 폭염…강한 소나기도",현대차 7월 美 판매 실적 작년보다 4% 증가…기아는 10% 감소,美 슈퍼마이크로 '1대 10 주식 분할'에도 주가 16% 폭락,美 휴스턴서 한국영화제 개최…'파묘' 등 6편 상영,캔디맨' 등 공포영화 명연기 배우 토니 토드 별세…향년 69세
"한동훈, 강원도당 신년 인사회 참석해 총선 승리 다짐","나발니 ""교도소에서 韓 '도시락 컵라면' 여유롭게 먹고 싶다""","바이든·트럼프, 29일 美남부국경 동시방문…이민정책 대결 가열",프레디 머큐리 살던 英 런던 집 500억원에 매물로 나와,"복귀 거부하고 거리로 나온 의사들…""탄압하면 국민적 저항""","美 ""민주주의정상회의 의미 큰 행사…개최국 한국에 감사""",영월 등 강원 3곳 대설주의보…횡성 등 15곳은 대설주의보 유지,"美정보수장 ""중러, 대만 겨냥 협력…미중·미러 두 전선도 가능""","中에 '관세폭탄' 안긴 바이든 ""中, 경쟁아닌 부정행위하고 있어""",전주 세월호 분향소에서 화재…텐트·집기류 소실,"[美공화 전대 D-1] 트럼프, 피격 후 통합모드?…'정적' 헤일리 전대 연사로",[올림픽] 여자양궁 임시현·전훈영도 개인전 16강 진출…3명 모두 생존(종합),머스크 '트럼프 지지'에 테슬라 전기차 구매 중단 기업 등장,"프랑스·네덜란드 당국, 넷플릭스 '탈세 의혹' 압수수색",금성호 실종자 시신 추가 수습…기상 악화로 수색 난항
중동붐'에 작년 플랜트 수주 302억달러로 25%↑…8년만에 최대,"폴란드 대통령, 수감된 야권 정치인 '두번째' 사면 절차","트랙터 시위대, EU 문턱 '진격'…불 지르고 방어벽 돌진(종합)",비트코인 상승에 가상화폐 전체 시가총액 2조 달러 넘어,"의료 현장 과부하…정부, 미복귀 전공의에 강경 대응","푸틴 대선 승리 후 첫 군중 연설…""육지로 크림반도 간다""","美 국무부 ""홍콩판 국가보안법에 우려…美국익·시민 영향 검토""","신태용호 인니, 연장 접전 끝 이라크에 분패…기니와 PO에 사활","獨 극우 유력 정치인, 나치 구호 외쳤다가 벌금형",명품백 의혹 고발 '서울의소리' 대표 오늘 검찰 조사,트럼프 총격범 차량과 자택서 폭발물도 발견돼,"[올림픽] 김주형, 남자 골프 첫날 공동 3위…일본 마쓰야마 선두","美, 하마스 새 지도자 신와르에 ""손에 피 잔뜩 묻은 테러범""","[2보] 네타냐후, 갈란트 국방장관 전격 경질…후임에 카츠","포철 쇳물 10% 담당 공장 화재…""복구에 일주일 이상 예상"""
[CES 2024] 역대 최대 '통합 한국관' 운영…32개 기관·443개 기업 참여,美 캘리포니아 스키리조트서 눈사태…1명 사망·3명 부상,"헝가리 의회, 헌법재판소장을 새 대통령으로 선출",美 컨슈머리포트 자동차 브랜드 평가서 기아 7위·현대차 10위,오늘부터 소상공인 전기요금 특별지원 2차 접수…최대 20만원,"바이든 ""생식의 자유는 투표용지에 있다""…낙태 대선쟁점화 부심",철원 등 강원 5곳 대설주의보 해제,아르헨 금리 일주일새 또 10%p 인하…'밀레이 채권' 띄우기?,"""베네수엘라, 자원부국 가이아나 인근 군사기지 지속 확장""",의대 증원' 이번 주 최종 확정…올해 입시 판도 변화,"임성재, PGA 투어 스코틀랜드오픈 공동 4위…매킨타이어 우승","[올림픽] '쾌조의 출발' 남자 골프 김주형 ""시상대서 애국가 듣고 싶어""(종합)","[올림픽] 골프 '2연속 메달' 리디아 고 ""마지막일 수 있으니 즐길래요""","이스라엘, 이번엔 시리아로 공세…연일 헤즈볼라 폭격",충남 서산서 운전자 살해 뒤 차량 불태운 40대 체포
